Nordwandschacht
SURVEY NAME: Nordwandschacht
SURVEY DATE: 8 13 2023  COMMENT: Gr��te Halle Osterreich
SURVEY TEAM: 
Tanguy Racine Peter Jeutter Robin Jeutter
DECLINATION:    0.00  FORMAT: DMMDLUDRLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

             nw.1.29              nw.1.30    19.54   196.30   -69.00     0.12     0.00    16.38     1.56
             nw.1.26              nw.1.31    56.66   107.20   -15.50     8.52    38.65    18.93    54.89
             nw.1.31              nw.1.32    40.05   104.00   -24.40    22.45    19.92    20.56    16.68
             nw.1.32              nw.1.33    27.50   113.30   -31.20    45.40    13.80    27.82    14.43
             nw.1.33              nw.1.34    22.94   131.80   -42.20    69.95    18.19    28.93    18.25
             nw.1.34              nw.1.35    10.17   203.90   -23.40    57.50    10.40    14.70    24.93
             nw.1.35              nw.1.36    20.42   162.50   -50.90     1.12     0.00    45.69     3.08
             nw.1.36              nw.1.37    11.87   262.70     5.20    24.72     0.00    34.71     0.00
             nw.1.37              nw.1.38    15.34   293.20   -15.10    13.12     0.00    14.56     8.86
             nw.1.38              nw.1.39    16.98   155.00   -31.20     0.00    21.06    12.33    36.12
             nw.1.39              nw.1.40     6.78    74.70    28.40     0.00    14.07    12.96    18.20
             nw.1.39              nw.1.41    10.15    85.90   -25.50     0.00    14.07    12.96    18.23
             nw.1.41              nw.1.42    13.66    93.90    11.90     0.82     3.62    11.96    10.51
             nw.1.42              nw.1.43    30.13   147.60   -51.80    20.20     0.00    25.27     5.22
             nw.1.42              nw.1.36    17.16   350.60    52.00     0.48     0.00    25.27    29.53
             nw.1.34              nw.1.45    53.60   107.20    -2.80     0.00    10.40    14.70    26.67
             nw.1.45              nw.1.46    11.33    73.60    13.40    36.38    26.56     0.00     2.78
             nw.1.46              nw.1.47    25.33    79.40    12.60    25.65    34.61     4.83    11.96
             nw.1.47              nw.1.48    39.18    97.10   -17.20    39.55    26.08    22.45    10.92
             nw.1.48              nw.1.49    23.48    23.30    41.70    38.26    34.64    11.54    42.63
             nw.1.49              nw.1.50    36.46   272.00     9.70    26.11    22.82    22.79    26.20
             nw.1.50              nw.1.51    52.59   298.10    11.50    45.33    28.37     3.84    35.85
             nw.1.51              nw.1.52    42.10   302.50    28.30    78.58    56.76    36.53    44.40
             nw.1.52              nw.1.53    48.31    47.70    21.30   107.51    56.55    44.42    99.82
             nw.1.53              nw.1.54    33.62    91.80     6.10    69.26    58.37    16.50    58.45
             nw.1.54              nw.1.55    58.21    76.20    31.20   128.36    61.94     0.23    37.86
             nw.1.55              nw.1.56    98.08    73.30    33.60    98.22    79.83     6.13    32.80
             nw.1.56            nw.1.56.1    27.71   117.60    15.50    91.81    77.34     2.50    31.84
             nw.1.56              nw.1.57    71.12    73.10    13.50   107.83    77.34     2.50    34.12
             nw.1.57              nw.1.58    65.85    31.30    36.90   153.26    64.29    10.75    54.44
             nw.1.58              nw.1.59    28.13   328.00    13.20    64.45    24.06    28.61    53.89
             nw.1.59              nw.1.17    17.88   324.40    -7.70    38.89    57.69     0.00    58.68
             nw.1.15            nw.1.15.4    34.51   140.10     2.30   108.03    83.44    75.22   124.85
           nw.1.15.4            nw.1.15.5    55.29   115.70    -0.60    38.24    70.64    43.33   130.91
           nw.1.15.1            nw.1.15.2    24.97    64.80   -29.40   137.30    58.57    67.94    51.73
           nw.1.15.2            nw.1.15.3    73.21     2.60   -17.60   125.54    72.34    22.20    17.41
           nw.1.15.3           nw.1.15.3a    44.13    52.40    23.20   139.14    62.99     3.09    43.98  15 
             nw.3.1               nw.1.0   148.49   231.10   -85.60    56.21    48.24    30.31     0.69
             nw.3.1              nw.3.2    12.38    24.90    62.50    12.39    48.24    30.31    33.16
             nw.3.2              nw.3.3    27.88   302.90    43.60    46.03    59.25     5.26     8.09
             nw.3.3              nw.3.4    31.31    13.50    85.20     3.63    47.70    18.65    37.19
             nw.3.4              nw.3.5    39.86   286.40    59.90     9.62    47.16    38.06     5.85
             nw.3.5              nw.3.6    48.32   245.50    55.00    15.77    48.25    65.19     0.87
             nw.3.6              nw.3.7    54.04   311.40    83.20    12.66   115.29    49.11    37.26
             nw.3.7              nw.3.8    48.05   342.80    75.80    23.68    71.38    39.75     2.52
             nw.3.8              nw.3.9    53.35    19.90    83.60     8.33    33.76    53.92    13.72

Nordwandschacht_2
SURVEY NAME: Nordwandschacht_2
SURVEY DATE: 8 18 2023  COMMENT: 
SURVEY TEAM: 
Tanguy Racine Rebecca Lawson Andreas Glitzner
DECLINATION:    0.00  FORMAT: DMMDLUDRLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

           nw.1.2.12               nw.2.1    17.01   348.80    -3.90     4.45     0.00     4.55     8.08
              nw.2.1               nw.2.2    17.79   293.80   -56.00     4.30    38.23    14.72    13.74
              nw.2.3               nw.2.1    17.01   133.50   -41.40    16.60     9.25     3.98    10.78
              nw.2.1               nw.2.4    11.67    60.30     9.70    15.50    38.23    14.72     6.98
              nw.2.4               nw.2.5    30.63    90.80   -35.90     0.69    30.97    18.78     5.96
              nw.2.5               nw.2.6     6.55   225.70   -33.20     6.62     8.55     7.54     1.49
              nw.2.6               nw.2.7    10.48   329.10   -21.00     5.77     0.67     8.84    15.27
              nw.2.7               nw.2.8     9.82   321.80    -9.60     6.78     2.13     6.44     4.16
              nw.2.8               nw.2.9    18.53   331.30   -12.60     6.44     2.71     3.79     0.00
              nw.2.9              nw.2.10     8.34   300.90   -43.50     2.91     0.00    11.32    14.97
             nw.2.10              nw.2.11    38.33   226.70   -77.60    10.48    48.59    39.92    18.76
             nw.2.11              nw.2.12    68.21   123.70   -73.60     4.44     0.00     3.37     9.09
             nw.2.12              nw.2.13    25.18   167.50    -0.40    19.79    25.87     4.86    20.96
             nw.2.13              nw.2.14    41.79   186.20    -0.10    30.30    34.11     3.35    18.27
             nw.2.13              nw.2.15    48.41    78.30     2.40    24.30    34.11     3.35    49.91
             nw.2.15              nw.2.16    39.57   327.90     7.30    37.27    60.58     7.93    75.12
             nw.2.16              nw.2.17    11.53   252.30    23.20     0.03     0.35     2.86     1.42
             nw.2.15              nw.2.18    50.83    87.20    12.00    67.55    60.58     7.93    56.26
             nw.2.18              nw.2.19    43.87    45.40    10.10    60.94    59.50     6.99    39.36
             nw.2.19              nw.2.20    36.74   107.20    33.30   111.83    57.17    14.49   118.57
             nw.2.19              nw.2.21    45.76   353.20    -7.90    44.87    57.17    14.49    48.37
             nw.2.21              nw.2.22    54.74    26.90     3.40    51.47    59.03    13.29    30.98
             nw.2.22              nw.2.23    33.63    30.00     6.20    54.31    24.87     6.80    19.43
             nw.2.22              nw.2.24    49.21   305.90    -6.30     4.98    24.87     6.80    36.27
             nw.2.18              nw.2.25    54.12   156.50    27.30    73.14    59.50     6.99    18.47
             nw.2.25              nw.2.26    32.29   221.20    23.10     4.97    34.13    33.14    47.92
             nw.2.26              nw.2.27    27.35   117.00     7.50    50.61    34.01    15.71    24.38
             nw.2.27              nw.2.28    16.56   118.30    -6.10     5.04     2.05     4.31    21.64
             nw.2.28              nw.2.29    34.51   132.50    -6.00     9.08     2.22     4.49     6.43
             nw.2.29              nw.2.30    30.50   198.40    22.60     5.15    20.97     4.12    16.85
             nw.2.30              nw.2.31    23.26   179.80    30.10    10.41    16.88     1.87    14.17
             nw.2.31              nw.2.32    11.73   114.10    25.60    12.16    31.44     2.83     6.65
             nw.2.32              nw.2.33    16.01   109.10    47.10     9.10    11.73     1.73     6.31
             nw.2.33              nw.2.34    10.27   151.00    42.30     6.62     1.10     5.04     3.17
             nw.2.34              nw.2.35     7.21   292.80    31.00     7.53     4.78     4.15    10.46
             nw.2.35              nw.2.36    10.37   311.20    24.60     8.20     9.97     1.35     5.21
             nw.2.36              nw.2.37    17.91   240.40    -7.90     4.31    10.94     3.08    12.64
